idsubsls;idsls;kdprov;kdkab;kdkec;kddesa;kdsls;kdsubsls;nmprov;nmkab;nmkec;nmdesa;nmsls;centroid_y;centroid_x
6401010009000100;64010100090001;64;1;010;009;0001;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SAMURANGAU;RT 001;-1.87998;115.890731
6401010009000200;64010100090002;64;1;010;009;0002;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SAMURANGAU;RT 002;-1.90309;115.891495
6401010009000300;64010100090003;64;1;010;009;0003;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SAMURANGAU;RT 003;-1.92847;115.871828
6401010010000100;64010100100001;64;1;010;010;0001;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 001;-1.79118;115.868303
6401010010000200;64010100100002;64;1;010;010;0002;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 002;-1.75638;115.86452
6401010010000300;64010100100003;64;1;010;010;0003;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 003;-1.73064;115.827309
6401010010000400;64010100100004;64;1;010;010;0004;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 004;-1.7363;115.822407
6401010010000500;64010100100005;64;1;010;010;0005;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 005;-1.71906;115.878188
6401010010000600;64010100100006;64;1;010;010;0006;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BUSUI;RT 006;-1.86348;115.77876
6401010011000100;64010100110001;64;1;010;011;0001;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 001;-1.82229;115.934275
6401010011000200;64010100110002;64;1;010;011;0002;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 002;-1.82383;115.927529
6401010011000300;64010100110003;64;1;010;011;0003;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 003;-1.82281;115.925005
6401010011000400;64010100110004;64;1;010;011;0004;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 004;-1.83122;115.930144
6401010011000500;64010100110005;64;1;010;011;0005;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 005;-1.83225;115.937625
6401010011000600;64010100110006;64;1;010;011;0006;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 006;-1.83294;115.932091
6401010011000701;64010100110007;64;1;010;011;0007;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 007;-1.83244;115.929144
6401010011000702;64010100110007;64;1;010;011;0007;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 007;-1.82897;115.928282
6401010011000800;64010100110008;64;1;010;011;0008;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 008;-1.82971;115.927678
6401010011000901;64010100110009;64;1;010;011;0009;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 009;-1.83223;115.927412
6401010011000902;64010100110009;64;1;010;011;0009;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 009;-1.82968;115.926573
6401010011001001;64010100110010;64;1;010;011;0010;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 010;-1.83839;115.923679
6401010011001002;64010100110010;64;1;010;011;0010;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 010;-1.83536;115.926102
6401010011001101;64010100110011;64;1;010;011;0011;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 011;-1.8347;115.926072
6401010011001102;64010100110011;64;1;010;011;0011;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 011;-1.83453;115.92652
6401010011001103;64010100110011;64;1;010;011;0011;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 011;-1.83389;115.92534
6401010011001201;64010100110012;64;1;010;011;0012;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 012;-1.833;115.926866
6401010011001202;64010100110012;64;1;010;011;0012;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 012;-1.8333;115.926125
6401010011001301;64010100110013;64;1;010;011;0013;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 013;-1.83776;115.926887
6401010011001302;64010100110013;64;1;010;011;0013;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 013;-1.83873;115.926901
6401010011001303;64010100110013;64;1;010;011;0013;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 013;-1.83565;115.928659
6401010011001304;64010100110013;64;1;010;011;0013;4;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 013;-1.83474;115.928722
6401010011001305;64010100110013;64;1;010;011;0013;5;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 013;-1.83546;115.927554
6401010011001306;64010100110013;64;1;010;011;0013;6;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 013;-1.83349;115.9295
6401010011001401;64010100110014;64;1;010;011;0014;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 014;-1.83795;115.928459
6401010011001402;64010100110014;64;1;010;011;0014;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 014;-1.8372;115.929579
6401010011001403;64010100110014;64;1;010;011;0014;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 014;-1.83627;115.928959
6401010011001501;64010100110015;64;1;010;011;0015;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 015;-1.83547;115.935063
6401010011001502;64010100110015;64;1;010;011;0015;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 015;-1.83449;115.930734
6401010011001503;64010100110015;64;1;010;011;0015;3;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 015;-1.83638;115.931012
6401010011001601;64010100110016;64;1;010;011;0016;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 016;-1.84012;115.936912
6401010011001602;64010100110016;64;1;010;011;0016;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;BATU KAJANG;RT 016;-1.83851;115.930747
